"district","urban","living.children","age_mean","contraceptive_use"
35,0,4,2.44,0
22,0,2,-1.5599,1
29,0,2,-8.5599,1
5,0,3,-4.5599,1
34,1,4,8.44,0
30,0,4,11.44,1
10,0,1,-12.559,0
5,0,4,13.44,0
44,0,4,1.44,0
58,0,2,-6.5599,0
24,0,1,-11.559,0
51,1,4,-1.5599,0
30,0,4,7.44,1
28,1,4,9.44,0
46,1,4,7.44,1
58,1,4,3.44,1
36,1,4,12.44,0
14,1,2,-3.5599,0
46,1,1,-10.559,0
56,0,1,-2.5599,1
19,0,2,5.44,0
34,0,4,-2.5599,1
18,1,1,-1.56,0
56,0,2,10.44,1
56,1,1,-9.5599,1
31,0,4,2.44,1
43,0,4,12.44,1
25,1,1,-9.5599,0
8,0,2,-7.5599,1
30,0,1,3.44,0
60,0,1,-3.5599,0
25,0,1,-5.5599,0
28,0,4,3.44,0
14,1,1,-8.5599,1
46,0,3,-0.5599,1
40,1,1,12.44,1
24,0,1,-8.5599,0
30,0,4,2.44,1
4,0,3,-9.5599,0
6,0,1,-11.559,0
7,0,4,6.44,0
61,0,4,14.44,0
26,0,2,-2.5599,1
14,1,2,3.44,1
14,1,1,-6.5599,0
21,1,1,-12.559,1
8,0,4,11.44,0
8,0,4,9.44,0
34,0,3,8.44,0
5,0,4,11.44,0
5,0,4,14.44,1
56,1,2,-11.559,0
45,0,4,1.44,0
13,0,2,-3.5599,1
14,1,3,3.44,1
52,1,1,-12.559,1
6,0,2,-5.5599,0
29,1,1,10.44,1
13,1,4,6.44,1
1,1,1,-11.56,1
43,0,4,12.44,1
45,0,4,1.44,0
13,1,1,-7.5599,1
56,1,2,-7.5599,1
48,0,3,0.44,1
28,0,1,-7.56,0
46,0,4,6.44,1
16,0,1,-12.56,0
22,0,1,-11.559,0
57,0,4,18.44,0
19,0,4,2.44,1
24,0,4,4.44,0
44,0,4,16.44,1
46,0,1,-7.5599,1
34,0,4,8.44,1
46,0,1,-12.56,1
17,0,1,-12.559,0
21,1,2,-6.5599,0
7,0,2,-7.56,0
14,1,1,-8.5599,1
6,0,1,-9.5599,0
56,1,1,-9.5599,1
61,0,4,1.44,0
36,0,3,-3.5599,1
28,0,2,-7.56,0
60,0,1,-7.5599,0
1,0,4,7.44,0
28,0,4,19.44,0
42,0,3,9.44,1
10,0,4,6.44,0
12,0,2,-7.5599,0
1,1,1,-4.5599,1
16,1,1,-9.5599,1
17,0,4,5.44,1
29,1,1,-0.5599,0
39,0,1,-13.559,0
46,0,4,8.44,0
51,0,2,-8.5599,1
44,0,3,1.44,1
39,0,4,10.44,1
59,0,4,10.44,0
37,0,4,16.44,0
37,0,4,9.44,1
40,1,2,-1.5599,1
16,0,2,-10.559,1
12,0,4,19.44,0
22,0,3,-4.5599,1
27,0,1,-7.56,0
25,0,2,-10.559,1
32,0,3,4.44,0
25,0,2,-5.5599,0
18,0,4,7.44,0
12,1,1,4.44,1
4,1,2,-10.559,1
14,1,3,-7.5599,1
20,0,1,-12.56,1
35,1,2,-9.5599,0
45,0,3,4.44,0
1,1,4,5.44,0
15,0,1,-7.56,0
8,0,2,0.44,0
44,0,1,-7.5599,0
53,1,1,-1.56,0
15,0,2,-8.5599,0
1,0,3,-3.5599,0
52,0,4,6.44,0
52,0,4,11.44,1
19,0,4,5.44,0
14,1,1,-9.5599,1
10,0,1,-9.5599,0
9,0,3,-5.5599,0
19,0,1,0.44,1
59,0,2,-8.5599,0
6,0,3,-4.56,1
48,1,2,-4.5599,0
52,1,2,-9.5599,0
43,1,1,-6.5599,1
56,0,4,15.44,0
17,0,4,11.44,0
56,1,4,9.44,1
29,0,4,0.44,1
6,0,4,13.44,0
3,1,4,-3.5599,1
34,0,2,-9.5599,0
13,0,1,-7.5599,0
58,1,2,3.44,0
11,0,4,18.44,0
5,0,4,6.44,1
6,0,1,-11.559,0
32,0,4,8.44,0
48,0,2,0.44,0
1,0,1,-7.5599,0
1,1,1,-11.56,0
7,0,4,3.44,1
14,1,2,-5.5599,1
6,0,4,16.44,0
46,1,4,-0.5599,1
12,0,4,-1.5599,0
9,1,4,16.44,0
26,0,3,-2.5599,1
57,0,4,14.4399,0
46,0,1,-11.559,0
17,0,1,-4.5599,0
34,0,4,9.44,0
43,0,1,-13.56,0
46,0,4,-5.5599,1
53,1,4,13.44,1
55,1,1,-1.5599,1
18,0,3,-5.5599,1
28,0,2,0.44,0
56,0,2,-4.5599,1
33,1,2,-7.5599,0
30,0,1,12.44,0
48,0,2,5.44,1
1,1,3,11.44,1
6,0,4,8.44,0
27,0,1,-12.559,0
40,1,1,-8.5599,1
26,0,2,-5.5599,0
44,0,4,-5.56,0
51,0,2,-7.56,1
43,0,4,17.44,1
10,0,3,18.44,0
58,1,4,16.44,1
6,0,1,-6.56,0
7,0,4,-5.5599,0
27,0,4,19.44,0
6,0,1,1.44,0
59,0,3,-8.5599,1
27,0,1,-9.5599,0
60,1,1,-8.5599,1
6,0,2,-7.56,0
30,0,1,-10.559,1
4,0,1,-10.559,0
25,1,1,-8.5599,0
13,1,1,-5.5599,0
35,1,1,0.44,1
60,0,1,-10.559,0
24,0,1,6.44,0
18,1,1,-11.559,0
18,0,2,-6.5599,1
5,0,3,-7.5599,0
60,0,1,-9.5599,0
46,1,4,7.44,1
38,1,4,15.44,1
20,0,3,-0.5599,1
21,1,4,14.44,0
33,0,4,18.44,0
56,1,1,-7.5599,1
5,0,1,-13.559,0
25,0,2,-2.5599,0
28,0,3,8.44,0
1,0,4,2.44,0
30,0,4,8.44,0
46,0,4,2.44,0
46,0,3,0.44,1
46,0,4,1.44,1
45,0,2,-10.559,1
14,1,2,-3.5599,1
47,1,1,1.44,0
2,0,4,10.44,0
19,1,2,-11.559,1
52,0,1,-13.559,1
49,0,1,-12.559,0
41,0,2,-1.5599,1
24,0,4,6.44,1
8,0,2,-7.5599,1
41,0,3,-0.5599,1
4,1,4,2.44,1
40,1,1,4.44,0
61,0,2,-8.5599,0
22,0,4,0.44,0
57,0,4,-1.5599,0
16,0,1,-10.559,0
28,1,4,-1.5599,0
14,1,4,10.44,1
32,0,1,-11.559,1
41,1,4,6.44,0
6,0,3,-2.5599,0
48,0,1,-10.559,1
1,1,1,-6.5599,1
61,0,2,-7.5599,0
51,0,4,-1.5599,0
46,0,4,17.44,0
28,0,2,-0.5599,0
25,0,2,-5.5599,0
56,0,1,-10.559,0
57,0,4,18.44,1
43,0,2,-5.5599,1
61,0,1,-11.559,1
61,0,1,-10.559,1
28,0,1,-12.559,0
13,1,2,-12.559,0
8,0,1,-13.56,0
11,0,2,18.44,0
52,0,4,14.44,0
23,0,4,10.44,1
47,0,4,8.44,1
6,0,2,-4.5599,0
30,1,2,-0.5599,1
34,0,4,-2.5599,1
50,0,1,-9.5599,0
40,1,4,3.44,1
25,1,4,-1.5599,1
61,0,4,10.44,0
39,0,4,19.44,0
5,0,1,-10.559,0
39,0,4,7.44,1
29,0,4,10.44,0
61,1,1,-12.56,0
30,0,1,-11.559,0
34,0,3,13.44,1
46,0,2,-2.5599,0
14,0,4,10.44,1
15,0,3,-2.5599,1
56,1,1,-8.5599,1
52,0,2,-6.5599,0
14,1,1,-3.5599,1
38,0,4,17.44,0
31,0,3,-7.5599,1
39,0,3,12.44,1
56,1,1,-3.5599,1
18,0,1,-4.5599,0
14,1,2,-7.5599,1
19,0,4,-5.5599,0
1,0,1,-2.56,0
60,0,4,7.44,0
35,0,4,5.44,0
15,1,4,-0.5599,1
11,0,1,3.44,0
58,0,3,-8.5599,0
30,0,2,-1.5599,1
45,0,3,19.44,0
58,1,4,14.44,1
14,1,1,-8.5599,1
48,0,2,-4.5599,1
57,0,2,0.44,0
7,0,4,11.44,0
22,0,4,17.44,0
34,0,2,-2.5599,1
18,1,3,-1.5599,0
14,1,3,-6.56,0
1,1,4,1.44,1
9,0,4,15.44,0
30,1,2,5.44,1
17,0,4,-5.5599,0
38,0,4,0.44,0
21,0,1,-7.5599,1
61,0,1,-9.5599,1
61,0,2,-0.5599,1
14,1,3,0.44,1
48,1,1,17.44,0
1,1,2,-6.5599,1
12,0,4,18.44,1
9,0,4,11.44,0
19,0,4,0.44,0
28,0,2,-9.5599,1
27,0,4,19.44,0
41,0,4,8.44,1
11,0,2,0.44,0
46,0,4,7.44,1
31,0,2,-7.5599,1
1,1,4,-0.5599,1
6,0,1,-7.5599,0
37,0,2,-6.5599,0
25,0,1,-1.5599,0
28,0,1,-11.559,0
2,0,4,1.44,0
2,0,3,-5.5599,1
25,1,2,-0.5599,1
14,1,4,8.44,0
35,0,1,-11.559,0
32,0,2,-11.56,0
6,0,4,8.44,0
45,0,2,-10.559,1
57,0,1,-6.5599,0
29,0,1,-8.5599,0
30,0,2,2.44,1
35,1,1,-13.559,0
25,0,1,-8.5599,0
29,0,4,11.44,0
46,0,4,7.44,1
21,1,4,12.44,0
56,0,4,5.44,0
27,0,4,10.44,0
12,0,3,-2.5599,0
25,0,4,4.44,0
14,1,2,-10.559,0
4,1,4,4.44,1
56,0,1,-13.559,1
17,0,4,15.44,0
9,0,4,10.44,1
8,0,3,0.44,1
43,1,1,-12.559,1
52,1,2,-9.5599,0
35,0,2,-2.56,1
18,1,3,1.44,0
45,1,3,-6.5599,1
8,0,1,-6.5599,0
58,1,3,-7.5599,0
24,0,1,-10.559,0
35,1,2,-12.559,1
35,0,3,12.44,1
8,0,2,-3.5599,0
11,0,1,-9.5599,0
50,1,1,-12.559,1
1,0,4,-1.5599,0
29,0,3,-0.5599,0
60,0,3,0.44,0
5,0,4,13.44,0
9,0,4,-3.5599,0
33,1,4,6.44,1
57,1,4,3.44,0
51,0,4,12.44,1
1,1,4,8.44,1
52,1,4,8.44,0
29,0,4,-1.5599,0
7,0,1,-8.5599,1
48,0,4,15.44,0
52,1,2,-8.5599,0
17,0,4,9.44,0
4,1,1,-3.5599,0
1,0,3,-7.5599,0
1,1,1,-3.5599,0
6,1,1,-0.5599,1
39,0,1,-4.5599,0
56,0,1,-11.559,0
40,1,2,-8.5599,0
28,0,2,-9.5599,0
57,0,4,2.44,0
40,0,1,-4.5599,0
52,0,1,-11.559,0
39,0,1,-7.5599,0
35,0,2,-9.5599,0
52,1,2,-12.559,0
12,0,1,-5.5599,1
34,0,4,12.44,1
46,0,1,-9.5599,0
35,1,1,-6.5599,1
48,0,1,-13.559,0
1,1,3,-7.5599,1
16,0,1,-10.559,1
46,0,3,-0.5599,0
13,1,4,10.44,0
10,0,3,19.44,0
8,0,2,-6.5599,1
2,0,4,-1.5599,0
1,0,1,-4.5599,0
38,0,1,-12.559,0
14,1,3,4.44,1
25,0,2,-11.559,1
53,1,2,-7.5599,1
51,1,4,12.44,0
9,0,2,-8.5599,0
17,0,4,-2.5599,0
11,0,4,2.44,0
46,0,4,-5.5599,0
5,0,2,-6.5599,1
48,0,4,17.44,0
30,0,4,17.44,1
39,0,4,-8.5599,1
30,0,1,-13.559,0
14,1,2,-6.5599,1
27,0,2,4.44,0
60,1,1,-13.56,0
45,0,2,-6.5599,0
41,0,1,-3.5599,1
15,0,4,8.44,1
40,0,4,0.44,1
49,0,1,-9.5599,0
52,0,2,-8.5599,0
13,1,2,-3.5599,1
6,0,3,0.44,1
30,0,1,-11.559,0
19,0,1,-2.5599,0
29,0,1,-7.56,0
6,0,4,11.44,0
56,1,2,-10.559,0
45,0,3,-3.5599,0
6,0,4,-8.5599,0
1,0,4,8.44,1
14,1,2,-11.559,0
23,0,3,-4.5599,0
1,1,3,-3.56,0
15,1,1,-13.559,0
25,0,4,-2.5599,0
34,0,4,4.44,1
7,0,1,-10.559,0
30,0,2,-4.5599,1
25,1,1,0.44,0
28,0,4,9.44,1
27,0,2,2.44,0
60,1,2,-8.5599,0
6,1,2,-4.5599,1
35,1,4,-0.5599,1
12,0,4,10.44,0
48,0,2,-4.5599,1
14,1,4,16.44,1
61,0,4,14.44,0
45,0,3,-8.5599,0
34,1,3,10.44,0
6,0,3,5.44,0
25,0,1,-12.56,0
4,0,1,-4.5599,0
18,0,1,-11.559,0
46,0,1,-4.5599,0
35,1,3,-10.559,0
29,0,3,-5.5599,0
28,0,4,18.44,0
53,1,1,17.44,0
44,0,4,5.44,0
40,0,4,12.44,0
7,0,1,-10.559,0
14,1,1,-5.5599,0
25,0,3,-0.56,0
25,0,4,1.44,0
34,0,3,0.44,1
9,0,2,-6.56,0
48,1,3,-1.5599,1
41,0,3,-1.5599,0
18,1,1,-9.5599,0
4,0,2,-4.5599,1
40,1,3,2.44,0
58,0,3,-1.5599,1
26,0,3,15.44,0
36,0,2,5.44,0
34,1,1,-9.5599,1
23,0,2,10.44,0
42,0,4,11.44,1
19,0,4,12.44,1
14,0,1,-10.56,0
39,0,4,5.44,0
40,1,1,-9.5599,0
46,0,2,-11.559,1
12,0,4,4.44,1
30,0,4,-6.5599,1
46,0,1,-10.56,1
51,0,3,-7.5599,0
58,1,1,-9.5599,0
34,0,4,11.44,1
56,0,4,12.44,1
1,1,4,5.44,0
43,0,2,0.44,0
15,0,3,-3.5599,1
56,0,2,-1.5599,1
24,0,4,15.44,0
31,0,3,-0.5599,1
48,0,1,-9.5599,0
56,1,2,6.44,1
33,1,4,1.44,1
51,0,2,-7.56,1
51,0,2,-3.5599,0
8,0,1,-12.56,0
31,0,4,6.44,1
55,1,4,6.44,0
46,0,4,3.44,0
61,0,3,-2.5599,0
27,0,1,0.44,0
51,0,2,-5.5599,1
14,1,4,16.44,1
32,0,4,-3.5599,1
30,0,1,-6.5599,0
18,0,1,-13.56,1
56,0,3,-2.5599,1
53,1,4,0.44,1
30,0,1,-10.559,0
31,0,1,-9.5599,0
1,0,3,19.44,0
14,1,1,-9.5599,0
40,1,4,15.44,0
42,0,1,-10.56,0
60,0,4,4.44,0
44,0,4,2.44,0
4,0,3,-2.5599,0
4,0,4,-1.5599,0
1,1,4,14.44,0
5,0,1,-3.56,0
46,0,4,8.44,0
1,1,1,-11.56,0
60,0,2,-4.5599,0
1,1,3,1.44,0
46,0,1,-12.56,1
28,0,1,-12.559,0
20,0,1,-13.559,0
25,0,4,5.44,0
28,0,2,-6.56,0
35,0,4,14.44,1
12,0,4,5.44,0
35,1,3,-6.5599,1
10,0,2,-6.5599,0
58,0,4,15.44,0
46,0,2,-2.5599,1
52,0,4,3.44,1
22,0,2,4.44,0
38,1,4,15.44,0
61,0,4,6.44,0
53,1,3,4.44,1
1,0,4,4.44,0
14,1,1,-10.559,0
13,1,1,-8.5599,0
14,1,1,-13.559,1
44,0,1,-10.559,0
21,1,4,18.44,0
41,1,4,6.44,0
47,1,1,-6.5599,0
41,0,4,12.44,0
20,0,4,17.44,0
43,1,2,-0.5599,1
28,0,1,-13.56,0
31,0,1,-9.5599,0
30,1,2,-8.5599,1
53,1,1,-9.56,1
52,0,1,-7.5599,1
12,0,4,3.44,0
1,1,4,18.44,0
1,1,4,8.44,0
40,0,4,13.44,0
60,1,4,-1.5599,1
47,0,3,8.44,0
6,0,3,-2.5599,0
14,1,1,-10.559,1
31,0,4,3.44,1
46,0,4,-3.5599,0
4,1,2,-6.5599,1
19,1,4,-1.5599,1
42,1,2,-7.5599,0
31,0,1,-11.559,0
47,0,1,8.44,1
34,0,2,4.44,0
30,0,1,4.44,0
25,0,4,5.44,1
12,1,4,18.44,0
33,1,4,5.44,1
24,0,4,5.44,0
59,0,4,2.44,0
30,0,4,15.44,0
25,0,4,1.44,1
61,0,4,5.44,0
61,1,4,12.44,0
6,1,3,11.44,0
18,0,4,-5.5599,1
25,0,2,-1.5599,0
48,1,4,9.44,0
27,1,1,-9.5599,1
12,0,2,-1.5599,1
32,0,4,1.44,0
34,1,3,13.44,1
14,1,4,14.44,0
12,0,4,3.44,0
25,1,2,9.44,1
27,0,4,6.44,0
40,0,4,0.44,1
40,1,1,-3.5599,1
36,0,3,-2.5599,1
39,1,4,4.44,0
14,1,1,-11.559,1
52,0,2,-9.5599,1
53,1,2,-5.5599,0
28,0,4,6.44,0
32,0,4,-2.5599,1
15,0,3,10.44,0
45,0,1,-9.5599,0
1,0,1,-13.559,0
51,1,1,-10.559,1
13,0,4,12.44,1
11,0,4,19.44,0
48,1,2,-0.5599,1
53,1,1,-0.5599,0
46,1,4,13.44,1
52,0,4,1.44,1
6,0,1,-12.56,0
22,0,3,3.44,0
51,0,1,-9.5599,0
14,0,1,-12.559,1
2,0,4,1.44,1
14,1,4,12.44,0
15,1,4,14.44,1
39,1,2,-10.559,1
40,1,1,0.44,1
47,0,4,6.44,1
60,0,2,-5.5599,0
14,1,3,-2.5599,1
32,0,1,-11.559,0
28,0,1,-9.5599,0
1,1,4,2.44,0
1,1,2,8.44,1
6,0,1,-6.56,0
25,1,4,-5.56,0
61,0,2,-5.5599,0
32,0,4,1.44,0
36,0,4,2.44,0
15,1,4,19.44,0
61,0,3,-4.5599,0
17,0,1,-11.559,0
1,1,1,-9.5599,0
36,0,2,4.44,1
38,0,4,16.44,0
1,0,4,10.44,0
40,1,3,5.44,1
27,0,3,6.44,0
14,0,4,18.44,0
46,0,3,3.44,0
6,0,3,0.44,0
46,0,4,16.44,0
43,0,1,-9.5599,1
61,0,4,1.44,1
43,1,2,-0.5599,0
1,1,1,-13.559,0
32,0,4,10.44,1
17,0,2,-5.5599,0
41,0,4,0.44,1
41,0,4,-0.5599,0
36,1,1,-10.559,0
51,1,2,-12.559,1
30,1,4,8.44,1
25,0,1,-11.56,0
14,1,1,-6.5599,1
31,0,4,14.44,1
29,1,4,12.44,1
33,0,4,0.44,1
27,0,1,-12.559,0
45,0,1,-1.5599,0
34,1,1,-1.5599,1
35,1,1,-6.5599,0
40,1,1,-11.559,0
13,0,4,3.44,0
52,0,1,-7.5599,0
47,0,2,17.44,0
27,0,4,11.44,0
14,1,4,9.44,1
31,0,1,-13.559,0
14,1,2,-10.559,1
40,1,4,11.44,0
8,0,4,-1.5599,0
14,0,4,17.44,0
61,1,4,10.44,0
18,0,2,-8.5599,0
34,1,4,10.44,0
58,0,2,3.44,1
1,1,3,-7.5599,0
22,0,4,0.44,0
20,0,1,-12.56,1
18,0,1,-8.5599,0
15,1,2,0.44,0
51,1,1,-0.5599,0
37,0,1,-9.5599,1
58,0,4,15.44,1
52,0,4,6.44,1
45,0,1,-13.559,0
52,1,2,-11.559,0
10,0,4,15.44,0
25,0,4,5.44,1
59,0,1,-12.56,0
14,1,1,-13.559,1
27,0,1,-5.5599,1
39,0,1,-10.56,1
46,1,2,-8.5599,1
56,0,2,-8.5599,1
29,0,2,-9.5599,0
7,0,2,-6.56,0
37,0,4,5.44,0
18,0,1,0.44,0
43,0,1,-13.56,0
19,1,1,-2.5599,0
48,1,3,1.44,1
18,0,1,-10.559,1
52,1,3,2.44,1
50,0,4,8.44,0
25,0,3,5.44,1
59,0,4,11.44,0
52,1,2,-3.5599,1
46,0,1,-12.56,1
52,1,1,-12.559,0
31,0,4,0.44,0
43,1,1,-11.559,1
56,0,3,1.44,1
16,0,1,-10.559,1
28,0,2,-1.56,0
37,0,4,10.44,0
18,0,4,5.44,0
1,1,2,-3.5599,1
47,0,4,1.44,1
1,0,4,5.44,1
17,0,2,-7.5599,0
19,0,4,-0.5599,1
56,1,4,9.44,1
35,0,4,-0.5599,0
35,0,1,-7.5599,1
56,1,4,8.44,0
14,1,2,2.44,0
1,1,3,-3.56,0
40,0,4,-4.5599,0
55,1,4,4.44,0
14,1,3,3.44,1
25,0,2,-6.5599,0
2,0,3,-5.5599,0
11,0,2,-8.5599,0
30,0,2,-8.5599,0
19,1,1,-12.559,1
8,0,4,5.44,1
47,0,4,16.44,0
52,1,1,-10.559,0
45,0,1,-12.56,0
25,0,4,4.44,1
29,0,1,-9.5599,0
52,1,1,-12.559,0
29,0,4,2.44,1
1,1,2,-5.5599,1
48,0,1,-12.559,0
56,1,2,-7.5599,1
6,0,1,-12.56,1
1,1,4,14.44,0
46,0,4,-2.5599,1
29,0,1,-7.56,0
53,1,3,0.44,1
43,1,2,-0.5599,1
44,0,3,-3.5599,1
46,1,2,-1.5599,1
27,0,4,18.44,0
52,0,3,-0.5599,0
45,0,2,-4.5599,0
17,0,1,1.44,0
28,0,4,9.44,1
14,1,2,-8.5599,1
50,0,1,-7.5599,1
28,0,3,-2.5599,1
35,0,4,3.44,1
2,0,4,7.44,1
25,0,1,-11.56,0
46,0,3,2.44,0
28,0,1,-7.56,0
2,0,1,-13.559,0
1,0,2,6.44,0
5,0,2,-4.5599,0
31,0,4,0.44,0
15,1,4,2.44,0
12,1,4,17.44,0
40,0,4,14.44,0
46,0,4,6.44,1
7,0,4,1.44,0
14,1,4,8.44,1
15,1,4,1.44,0
44,0,3,16.44,1
48,1,4,4.44,1
38,1,4,-1.5599,1
6,1,4,4.44,1
35,1,4,17.44,0
1,0,4,0.44,0
2,0,1,-13.559,0
13,0,3,-7.5599,1
35,1,4,4.44,1
44,0,1,18.44,0
44,0,2,-1.5599,1
37,0,3,-4.5599,1
14,1,2,-1.5599,1
11,0,1,-9.5599,0
58,0,3,-5.5599,1
48,0,1,-0.5599,0
33,0,3,6.44,0
29,0,1,-9.5599,0
50,0,3,9.44,0
4,0,2,1.44,1
31,1,4,16.44,0
1,1,2,-4.5599,0
39,0,1,-7.5599,1
58,1,4,19.44,0
27,0,4,10.44,0
14,1,2,-4.5599,0
27,0,3,9.44,1
11,0,1,-8.5599,0
26,0,1,-9.5599,0
31,0,2,-0.5599,1
61,0,2,-7.5599,0
1,0,4,-4.5599,0
25,0,1,-13.56,0
28,0,4,19.44,0
31,0,2,-9.5599,1
14,1,4,0.44,0
6,0,1,-10.559,0
39,0,4,14.44,0
57,0,3,2.44,0
34,0,4,11.44,1
29,0,1,-9.5599,0
48,1,1,-7.5599,1
9,0,4,-5.5599,0
41,0,3,-7.5599,0
22,0,3,-3.56,0
14,1,2,6.44,0
28,0,3,-0.5599,0
61,0,4,8.44,0
46,0,1,-4.5599,0
1,0,4,0.44,0
8,0,3,-4.5599,1
13,0,4,-2.5599,0
46,0,2,-6.5599,1
40,0,4,19.44,0
51,0,4,10.44,0
58,0,1,-11.559,0
52,0,2,2.44,1
25,0,2,-4.5599,0
51,1,1,-6.5599,1
31,1,4,2.44,1
6,0,4,-2.5599,1
1,1,4,6.44,0
13,0,1,-2.5599,0
8,0,1,-7.5599,0
42,1,2,0.44,0
46,1,2,7.44,1
14,0,3,-6.5599,0
61,1,2,-9.5599,1
51,1,3,-6.5599,1
14,1,1,-12.559,0
61,1,1,-9.5599,0
34,0,3,4.44,1
1,1,4,-3.5599,0
35,0,3,4.44,0
25,1,4,1.44,1
26,0,4,5.44,0
46,0,1,0.44,0
31,0,4,18.44,1
57,0,1,-9.5599,0
55,1,2,6.44,0
48,1,4,13.44,0
50,0,4,3.44,0
46,0,3,17.44,1
44,0,2,-6.56,0
50,0,1,-10.56,0
58,0,1,-2.5599,1
6,0,2,6.44,0
13,0,1,13.44,0
27,0,1,-12.559,0
14,1,2,-5.5599,1
1,1,4,2.44,0
46,0,3,-2.5599,1
32,0,2,-9.5599,0
8,0,4,1.44,1
46,0,4,4.44,1
58,1,4,19.44,0
35,1,3,9.44,1
2,0,1,-7.56,0
31,0,4,8.44,0
11,0,1,-11.559,0
43,1,1,6.44,0
19,0,2,14.44,0
25,1,1,-10.559,0
2,0,3,0.44,0
1,1,1,-4.5599,0
45,0,4,-0.5599,1
35,0,4,-2.5599,1
35,1,3,6.44,0
45,0,2,-10.559,0
46,0,1,-11.559,0
28,0,4,16.44,0
30,0,4,9.44,1
21,1,4,-3.5599,0
50,1,4,4.44,1
1,1,1,-2.5599,0
24,0,2,-4.5599,0
21,0,2,-7.5599,0
14,1,1,-10.559,0
13,0,4,0.44,1
21,0,2,-4.5599,1
27,1,1,-2.5599,0
35,1,4,-5.5599,1
1,1,3,-2.5599,1
45,0,3,0.44,0
15,0,2,-5.5599,0
18,0,3,17.44,0
33,0,3,-2.5599,0
14,1,2,-10.559,0
46,0,4,10.44,0
14,0,3,6.44,0
41,0,2,-6.5599,0
16,0,3,4.44,1
16,0,2,-6.5599,1
28,0,4,1.44,0
14,0,2,-7.5599,0
7,0,2,2.44,0
23,0,4,16.44,0
14,0,4,0.44,0
53,1,4,1.44,1
46,0,4,15.44,0
17,0,4,0.44,1
42,1,2,-2.5599,1
28,0,1,-7.56,0
10,0,4,3.44,0
35,0,2,-13.559,0
7,0,1,-13.56,0
25,1,2,2.44,0
31,1,4,15.44,0
27,0,4,14.44,0
18,0,4,1.44,0
18,1,1,-9.5599,1
17,0,1,-12.559,0
22,0,2,-3.5599,1
14,0,2,-1.5599,0
18,0,1,17.44,0
28,0,4,1.44,1
20,0,1,-12.56,0
44,0,3,-2.5599,0
48,1,4,2.44,1
1,0,4,7.44,1
45,0,2,-6.5599,0
27,0,2,-4.5599,0
35,0,4,-8.5599,1
7,0,3,1.44,0
32,0,1,-9.5599,0